adduser	3.137ubuntu1
ant	1.10.14-1
apt	2.8.3
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
bison	2:3.8.2+dfsg-1build2
bsdutils	1:2.39.3-9ubuntu6.4
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
ca-certificates-java	20240118
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
coreutils	9.4-3ubuntu6.1
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
curl	8.5.0-2ubuntu10.8
dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1
debianutils	5.17build1
diffutils	1:3.10-1build1
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
file	1:5.45-3build1
findutils	4.9.0-5build1
flex	2.6.4-8.2build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
git	1:2.43.0-1ubuntu7.3
git-lfs	3.4.1-1ubuntu0.3
git-man	1:2.43.0-1ubuntu7.3
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
gzip	1.12-1ubuntu3.1
hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1
java-common	0.75+exp1
libacl1:amd64	2.3.2-1build1.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.5
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.5
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libassuan0:amd64	2.5.6-1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libbinutils:amd64	2.42-4ubuntu2.10
libblkid1:amd64	2.39.3-9ubuntu6.4
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.7
libc-dev-bin	2.39-0ubuntu8.7
libc6:amd64	2.39-0ubuntu8.7
libc6-dev:amd64	2.39-0ubuntu8.7
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.2
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libctf-nobfd0:amd64	2.42-4ubuntu2.10
libctf0:amd64	2.42-4ubuntu2.10
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.8
libcurl4t64:amd64	8.5.0-2ubuntu10.8
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdebconfclient0:amd64	0.271ubuntu3
libdpkg-perl	1.22.6ubuntu6.5
libedit2:amd64	3.1-20230828-1build1
liberror-perl	0.17029-2
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libffi8:amd64	3.4.6-1build1
libfido2-1:amd64	1.14.0-1build3
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2build1
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.5
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgprofng0:amd64	2.42-4ubuntu2.10
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.6
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libicu74:amd64	74.2-1ubuntu3.1
libidn12:amd64	1.42-1build1
libidn2-0:amd64	2.3.7-2build1.1
libisl23:amd64	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjansson4:amd64	2.14-2build2
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjsoncpp25:amd64	1.9.5-6build1
libk5crypto3:amd64	1.20.1-6ubuntu2.6
libkeyutils1:amd64	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.6
libkrb5support0:amd64	1.20.1-6ubuntu2.6
liblcms2-2:amd64	2.14-2build1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmd0:amd64	1.1.0-2build1.1
libmount1:amd64	2.39.3-9ubuntu6.4
libmpc3:amd64	1.3.1-1build1.1
libmpfr6:amd64	4.2.1-1build1.1
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss3:amd64	2:3.98-1ubuntu0.1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam0g:amd64	1.5.3-5ubuntu5.5
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcsclite1:amd64	2.0.3-1build1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.12
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.12
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.10
libsmartcols1:amd64	2.39.3-9ubuntu6.4
libsqlite3-0:amd64	3.45.1-1ubuntu2.5
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.4
libssl3t64:amd64	3.0.13-0ubuntu3.7
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libsystemd0:amd64	255.4-1ubuntu8.12
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtool	2.4.7-7build1
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.12
libunistring5:amd64	1.1-2build1.1
libuuid1:amd64	2.39.3-9ubuntu6.4
libuv1t64:amd64	1.48.0-1.1build1
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.7
libxxhash0:amd64	0.8.2-2build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-libc-dev:amd64	6.8.0-106.106
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47
m4	1.4.19-4build1
make	4.3-4.1build2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mount	2.39.3-9ubuntu6.4
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
openjdk-11-jre-headless:amd64	11.0.30+7-1ubuntu1~24.04
openssh-client	1:9.6p1-3ubuntu13.15
openssl	3.0.13-0ubuntu3.7
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
procps	2:4.0.4-4ubuntu3.2
python3	3.12.3-0ubuntu2.1
python3-minimal	3.12.3-0ubuntu2.1
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-setuptools	68.1.2-2ubuntu1.2
python3-wheel	0.42.0-2
python3.12	3.12.3-1ubuntu0.12
python3.12-minimal	3.12.3-1ubuntu0.12
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
sed	4.9-2build1
sensible-utils	0.0.22
sudo	1.9.15p5-3ubuntu5.24.04.2
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tzdata	2025b-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
unminimize	0.2.1
unzip	6.0-28ubuntu4.1
util-linux	2.39.3-9ubuntu6.4
wget	1.21.4-1ubuntu4.1
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zip	3.0-13ubuntu0.2
